Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
SC:MOD13Q1.005:2037568421,MOD13Q1.A2000145.h12v12.005.2006283221423.hdf,2000-05-24T00:00:00.0000000Z,2000-06-08T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.05.24/MOD13Q1.A2000145.h12v12.005.2006283221423.hdf,,3,DAY,"229,838241"
SC:MOD13Q1.005:2063594144,MOD13Q1.A2000161.h12v12.005.2008195055148.hdf,2000-06-09T00:00:00.0000000Z,2000-06-24T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.06.09/MOD13Q1.A2000161.h12v12.005.2008195055148.hdf,,5,DAY,"217,652527"
SC:MOD13Q1.005:2063594450,MOD13Q1.A2000161.h13v12.005.2008195061332.hdf,2000-06-09T00:00:00.0000000Z,2000-06-24T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.06.09/MOD13Q1.A2000161.h13v12.005.2008195061332.hdf,,1,DAY,"112,344474"
SC:MOD13Q1.005:2037730143,MOD13Q1.A2000177.h13v12.005.2006292092234.hdf,2000-06-25T00:00:00.0000000Z,2000-07-10T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.06.25/MOD13Q1.A2000177.h13v12.005.2006292092234.hdf,,1,DAY,"113,659103"
SC:MOD13Q1.005:2037730286,MOD13Q1.A2000177.h12v12.005.2006292093114.hdf,2000-06-25T00:00:00.0000000Z,2000-07-10T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.06.25/MOD13Q1.A2000177.h12v12.005.2006292093114.hdf,,8,DAY,"219,72196"
SC:MOD13Q1.005:2066202348,MOD13Q1.A2000193.h12v12.005.2008275025038.hdf,2000-07-11T00:00:00.0000000Z,2000-07-26T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.07.11/MOD13Q1.A2000193.h12v12.005.2008275025038.hdf,,4,BOTH,"243,241684"
SC:MOD13Q1.005:2066219643,MOD13Q1.A2000193.h13v12.005.2008275123802.hdf,2000-07-11T00:00:00.0000000Z,2000-07-26T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.07.11/MOD13Q1.A2000193.h13v12.005.2008275123802.hdf,,1,DAY,"121,818913"
SC:MOD13Q1.005:2038017450,MOD13Q1.A2000209.h13v12.005.2006305140945.hdf,2000-07-27T00:00:00.0000000Z,2000-08-11T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.07.27/MOD13Q1.A2000209.h13v12.005.2006305140945.hdf,,1,DAY,"109,625014"
SC:MOD13Q1.005:2038017916,MOD13Q1.A2000209.h12v12.005.2006305144011.hdf,2000-07-27T00:00:00.0000000Z,2000-08-11T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.07.27/MOD13Q1.A2000209.h12v12.005.2006305144011.hdf,,5,DAY,"222,886771"
SC:MOD13Q1.005:2038089224,MOD13Q1.A2000225.h13v12.005.2006308025649.hdf,2000-08-12T00:00:00.0000000Z,2000-08-27T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.08.12/MOD13Q1.A2000225.h13v12.005.2006308025649.hdf,,2,DAY,"104,014044"
SC:MOD13Q1.005:2038089677,MOD13Q1.A2000225.h12v12.005.2006308031551.hdf,2000-08-12T00:00:00.0000000Z,2000-08-27T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.08.12/MOD13Q1.A2000225.h12v12.005.2006308031551.hdf,,6,DAY,"207,038184"
SC:MOD13Q1.005:2038217696,MOD13Q1.A2000241.h13v12.005.2006311231529.hdf,2000-08-28T00:00:00.0000000Z,2000-09-12T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.08.28/MOD13Q1.A2000241.h13v12.005.2006311231529.hdf,,1,DAY,"128,571133"
SC:MOD13Q1.005:2038218361,MOD13Q1.A2000241.h12v12.005.2006312000810.hdf,2000-08-28T00:00:00.0000000Z,2000-09-12T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.08.28/MOD13Q1.A2000241.h12v12.005.2006312000810.hdf,,3,DAY,"242,74362"
SC:MOD13Q1.005:2063646691,MOD13Q1.A2000257.h12v12.005.2008196085735.hdf,2000-09-13T00:00:00.0000000Z,2000-09-28T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.09.13/MOD13Q1.A2000257.h12v12.005.2008196085735.hdf,,3,BOTH,"239,531537"
SC:MOD13Q1.005:2063647608,MOD13Q1.A2000257.h13v12.005.2008196091652.hdf,2000-09-13T00:00:00.0000000Z,2000-09-28T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.09.13/MOD13Q1.A2000257.h13v12.005.2008196091652.hdf,,1,DAY,"121,146103"
SC:MOD13Q1.005:2063869794,MOD13Q1.A2000273.h13v12.005.2008203075823.hdf,2000-09-29T00:00:00.0000000Z,2000-10-14T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.09.29/MOD13Q1.A2000273.h13v12.005.2008203075823.hdf,,1,DAY,"121,311178"
SC:MOD13Q1.005:2063869818,MOD13Q1.A2000273.h12v12.005.2008203080555.hdf,2000-09-29T00:00:00.0000000Z,2000-10-14T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.09.29/MOD13Q1.A2000273.h12v12.005.2008203080555.hdf,,2,DAY,"248,022673"
SC:MOD13Q1.005:2063929043,MOD13Q1.A2000289.h13v12.005.2008205062022.hdf,2000-10-15T00:00:00.0000000Z,2000-10-30T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.10.15/MOD13Q1.A2000289.h13v12.005.2008205062022.hdf,,1,DAY,"115,004198"
SC:MOD13Q1.005:2063929259,MOD13Q1.A2000289.h12v12.005.2008205070917.hdf,2000-10-15T00:00:00.0000000Z,2000-10-30T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.10.15/MOD13Q1.A2000289.h12v12.005.2008205070917.hdf,,1,DAY,"236,394435"
SC:MOD13Q1.005:2064027204,MOD13Q1.A2000305.h13v12.005.2008210191310.hdf,2000-10-31T00:00:00.0000000Z,2000-11-15T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.10.31/MOD13Q1.A2000305.h13v12.005.2008210191310.hdf,,1,DAY,"121,648412"
SC:MOD13Q1.005:2064029112,MOD13Q1.A2000305.h12v12.005.2008210200530.hdf,2000-10-31T00:00:00.0000000Z,2000-11-15T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.10.31/MOD13Q1.A2000305.h12v12.005.2008210200530.hdf,,2,DAY,"239,983489"
SC:MOD13Q1.005:2038946643,MOD13Q1.A2000321.h13v12.005.2006340164053.hdf,2000-11-16T00:00:00.0000000Z,2000-12-01T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.11.16/MOD13Q1.A2000321.h13v12.005.2006340164053.hdf,,1,DAY,"133,8651"
SC:MOD13Q1.005:2038947093,MOD13Q1.A2000321.h12v12.005.2006340172223.hdf,2000-11-16T00:00:00.0000000Z,2000-12-01T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.11.16/MOD13Q1.A2000321.h12v12.005.2006340172223.hdf,,1,DAY,"260,071325"
SC:MOD13Q1.005:2063654850,MOD13Q1.A2000337.h13v12.005.2008196225528.hdf,2000-12-02T00:00:00.0000000Z,2000-12-17T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.12.02/MOD13Q1.A2000337.h13v12.005.2008196225528.hdf,,0,DAY,"130,201665"
SC:MOD13Q1.005:2063654968,MOD13Q1.A2000337.h12v12.005.2008196232227.hdf,2000-12-02T00:00:00.0000000Z,2000-12-17T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.12.02/MOD13Q1.A2000337.h12v12.005.2008196232227.hdf,,0,DAY,"257,083467"
SC:MOD13Q1.005:2039124374,MOD13Q1.A2000353.h13v12.005.2006346202624.hdf,2000-12-18T00:00:00.0000000Z,2001-01-02T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.12.18/MOD13Q1.A2000353.h13v12.005.2006346202624.hdf,,1,DAY,"132,764845"
SC:MOD13Q1.005:2039126042,MOD13Q1.A2000353.h12v12.005.2006346212549.hdf,2000-12-18T00:00:00.0000000Z,2001-01-02T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.12.18/MOD13Q1.A2000353.h12v12.005.2006346212549.hdf,,0,DAY,"254,057348"
SC:MOD13Q1.005:2065894035,MOD13Q1.A2001001.h13v12.005.2008270061609.hdf,2001-01-01T00:00:00.0000000Z,2001-01-16T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.01.01/MOD13Q1.A2001001.h13v12.005.2008270061609.hdf,,1,DAY,"124,366282"
SC:MOD13Q1.005:2065894077,MOD13Q1.A2001001.h12v12.005.2008270053315.hdf,2001-01-01T00:00:00.0000000Z,2001-01-16T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.01.01/MOD13Q1.A2001001.h12v12.005.2008270053315.hdf,,0,DAY,"247,765564"
SC:MOD13Q1.005:2039461962,MOD13Q1.A2001017.h13v12.005.2006358174251.hdf,2001-01-17T00:00:00.0000000Z,2001-02-01T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.01.17/MOD13Q1.A2001017.h13v12.005.2006358174251.hdf,,0,DAY,"123,243365"
SC:MOD13Q1.005:2039462577,MOD13Q1.A2001017.h12v12.005.2006358182542.hdf,2001-01-17T00:00:00.0000000Z,2001-02-01T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.01.17/MOD13Q1.A2001017.h12v12.005.2006358182542.hdf,,0,DAY,"247,017309"
SC:MOD13Q1.005:2066045575,MOD13Q1.A2001033.h12v12.005.2008272001141.hdf,2001-02-02T00:00:00.0000000Z,2001-02-17T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.02.02/MOD13Q1.A2001033.h12v12.005.2008272001141.hdf,,0,DAY,"253,833779"
SC:MOD13Q1.005:2066037707,MOD13Q1.A2001033.h13v12.005.2008271232252.hdf,2001-02-02T00:00:00.0000000Z,2001-02-17T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.02.02/MOD13Q1.A2001033.h13v12.005.2008271232252.hdf,,0,DAY,"126,573642"
SC:MOD13Q1.005:2039700608,MOD13Q1.A2001049.h12v12.005.2007002232654.hdf,2001-02-18T00:00:00.0000000Z,2001-03-05T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.02.18/MOD13Q1.A2001049.h12v12.005.2007002232654.hdf,,0,DAY,"246,125177"
SC:MOD13Q1.005:2039699358,MOD13Q1.A2001049.h13v12.005.2007002220311.hdf,2001-02-18T00:00:00.0000000Z,2001-03-05T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.02.18/MOD13Q1.A2001049.h13v12.005.2007002220311.hdf,,1,DAY,"122,238393"
SC:MOD13Q1.005:2039781556,MOD13Q1.A2001065.h12v12.005.2007007115606.hdf,2001-03-06T00:00:00.0000000Z,2001-03-21T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.03.06/MOD13Q1.A2001065.h12v12.005.2007007115606.hdf,,0,DAY,"244,304149"
SC:MOD13Q1.005:2039781298,MOD13Q1.A2001065.h13v12.005.2007007110531.hdf,2001-03-06T00:00:00.0000000Z,2001-03-21T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.03.06/MOD13Q1.A2001065.h13v12.005.2007007110531.hdf,,1,DAY,"120,902145"
SC:MOD13Q1.005:2066309274,MOD13Q1.A2001081.h12v12.005.2008278012326.hdf,2001-03-22T00:00:00.0000000Z,2001-04-06T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.03.22/MOD13Q1.A2001081.h12v12.005.2008278012326.hdf,,1,DAY,"242,252583"
SC:MOD13Q1.005:2066309397,MOD13Q1.A2001081.h13v12.005.2008278014116.hdf,2001-03-22T00:00:00.0000000Z,2001-04-06T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.03.22/MOD13Q1.A2001081.h13v12.005.2008278014116.hdf,,1,DAY,"116,760441"
SC:MOD13Q1.005:2040008862,MOD13Q1.A2001097.h12v12.005.2007018125736.hdf,2001-04-07T00:00:00.0000000Z,2001-04-22T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.04.07/MOD13Q1.A2001097.h12v12.005.2007018125736.hdf,,1,DAY,"238,034851"
SC:MOD13Q1.005:2040007265,MOD13Q1.A2001097.h13v12.005.2007018121758.hdf,2001-04-07T00:00:00.0000000Z,2001-04-22T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.04.07/MOD13Q1.A2001097.h13v12.005.2007018121758.hdf,,1,DAY,"122,960784"
SC:MOD13Q1.005:2066520294,MOD13Q1.A2001113.h13v12.005.2008284103253.hdf,2001-04-23T00:00:00.0000000Z,2001-05-08T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.04.23/MOD13Q1.A2001113.h13v12.005.2008284103253.hdf,,1,DAY,"121,307426"
SC:MOD13Q1.005:2066520407,MOD13Q1.A2001113.h12v12.005.2008284104654.hdf,2001-04-23T00:00:00.0000000Z,2001-05-08T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.04.23/MOD13Q1.A2001113.h12v12.005.2008284104654.hdf,,2,DAY,"235,002498"
SC:MOD13Q1.005:2040190990,MOD13Q1.A2001129.h12v12.005.2007027120420.hdf,2001-05-09T00:00:00.0000000Z,2001-05-24T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.05.09/MOD13Q1.A2001129.h12v12.005.2007027120420.hdf,,4,DAY,"215,288514"
SC:MOD13Q1.005:2040191204,MOD13Q1.A2001129.h13v12.005.2007027122922.hdf,2001-05-09T00:00:00.0000000Z,2001-05-24T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.05.09/MOD13Q1.A2001129.h13v12.005.2007027122922.hdf,,1,DAY,"114,409278"
SC:MOD13Q1.005:2041293403,MOD13Q1.A2001145.h12v12.005.2007064034918.hdf,2001-05-25T00:00:00.0000000Z,2001-06-09T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.05.25/MOD13Q1.A2001145.h12v12.005.2007064034918.hdf,,5,DAY,"224,313944"
SC:MOD13Q1.005:2041293230,MOD13Q1.A2001145.h13v12.005.2007064033237.hdf,2001-05-25T00:00:00.0000000Z,2001-06-09T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.05.25/MOD13Q1.A2001145.h13v12.005.2007064033237.hdf,,2,DAY,"117,46976"
SC:MOD13Q1.005:2040377958,MOD13Q1.A2001161.h13v12.005.2007035150624.hdf,2001-06-10T00:00:00.0000000Z,2001-06-25T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.06.10/MOD13Q1.A2001161.h13v12.005.2007035150624.hdf,,43,DAY,"111,4389"
SC:MOD13Q1.005:2040381734,MOD13Q1.A2001161.h12v12.005.2007035152358.hdf,2001-06-10T00:00:00.0000000Z,2001-06-25T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.06.10/MOD13Q1.A2001161.h12v12.005.2007035152358.hdf,,62,DAY,"207,913805"
SC:MOD13Q1.005:2043802914,MOD13Q1.A2001177.h12v12.005.2007168094550.hdf,2001-06-26T00:00:00.0000000Z,2001-07-11T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.06.26/MOD13Q1.A2001177.h12v12.005.2007168094550.hdf,,8,DAY,"207,244553"
SC:MOD13Q1.005:2043861281,MOD13Q1.A2001177.h13v12.005.2007169190024.hdf,2001-06-26T00:00:00.0000000Z,2001-07-11T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.06.26/MOD13Q1.A2001177.h13v12.005.2007169190024.hdf,,3,DAY,"109,82504"
SC:MOD13Q1.005:2040602729,MOD13Q1.A2001193.h13v12.005.2007041021452.hdf,2001-07-12T00:00:00.0000000Z,2001-07-27T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.07.12/MOD13Q1.A2001193.h13v12.005.2007041021452.hdf,,1,DAY,"114,013019"
SC:MOD13Q1.005:2040603128,MOD13Q1.A2001193.h12v12.005.2007041031041.hdf,2001-07-12T00:00:00.0000000Z,2001-07-27T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.07.12/MOD13Q1.A2001193.h12v12.005.2007041031041.hdf,,5,DAY,"215,200448"
SC:MOD13Q1.005:2064353338,MOD13Q1.A2001209.h13v12.005.2008223152506.hdf,2001-07-28T00:00:00.0000000Z,2001-08-12T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.07.28/MOD13Q1.A2001209.h13v12.005.2008223152506.hdf,,1,DAY,"116,679802"
SC:MOD13Q1.005:2064356331,MOD13Q1.A2001209.h12v12.005.2008223180259.hdf,2001-07-28T00:00:00.0000000Z,2001-08-12T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.07.28/MOD13Q1.A2001209.h12v12.005.2008223180259.hdf,,4,DAY,"216,620603"
SC:MOD13Q1.005:2040870636,MOD13Q1.A2001225.h12v12.005.2007050214657.hdf,2001-08-13T00:00:00.0000000Z,2001-08-28T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.08.13/MOD13Q1.A2001225.h12v12.005.2007050214657.hdf,,4,DAY,"243,001927"
SC:MOD13Q1.005:2040868637,MOD13Q1.A2001225.h13v12.005.2007050204046.hdf,2001-08-13T00:00:00.0000000Z,2001-08-28T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.08.13/MOD13Q1.A2001225.h13v12.005.2007050204046.hdf,,1,DAY,"122,064662"
SC:MOD13Q1.005:2066367047,MOD13Q1.A2001241.h13v12.005.2008279152220.hdf,2001-08-29T00:00:00.0000000Z,2001-09-13T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.08.29/MOD13Q1.A2001241.h13v12.005.2008279152220.hdf,,1,DAY,"120,608544"
SC:MOD13Q1.005:2066367122,MOD13Q1.A2001241.h12v12.005.2008279152715.hdf,2001-08-29T00:00:00.0000000Z,2001-09-13T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.08.29/MOD13Q1.A2001241.h12v12.005.2008279152715.hdf,,3,DAY,"227,488046"
SC:MOD13Q1.005:2041416363,MOD13Q1.A2001257.h13v12.005.2007067111313.hdf,2001-09-14T00:00:00.0000000Z,2001-09-29T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.09.14/MOD13Q1.A2001257.h13v12.005.2007067111313.hdf,,1,DAY,"116,833359"
SC:MOD13Q1.005:2041419274,MOD13Q1.A2001257.h12v12.005.2007067130618.hdf,2001-09-14T00:00:00.0000000Z,2001-09-29T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.09.14/MOD13Q1.A2001257.h12v12.005.2007067130618.hdf,,2,DAY,"225,067278"
SC:MOD13Q1.005:2066534751,MOD13Q1.A2001273.h12v12.005.2008285012841.hdf,2001-09-30T00:00:00.0000000Z,2001-10-15T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.09.30/MOD13Q1.A2001273.h12v12.005.2008285012841.hdf,,1,DAY,"223,259623"
SC:MOD13Q1.005:2066535520,MOD13Q1.A2001273.h13v12.005.2008285022327.hdf,2001-09-30T00:00:00.0000000Z,2001-10-15T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.09.30/MOD13Q1.A2001273.h13v12.005.2008285022327.hdf,,2,DAY,"114,03841"
SC:MOD13Q1.005:2041675820,MOD13Q1.A2001289.h13v12.005.2007076013340.hdf,2001-10-16T00:00:00.0000000Z,2001-10-31T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2001.10.16/MOD13Q1.A2001289.h13v12.005.2007076013340.hdf,,1,DAY,"121,498488"
